Molecule ChEMBL ID,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Target ChEMBL ID,Smiles
CHEMBL297453,IC50,'=',1600.0,nM,5.8,CHEMBL4822,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1
CHEMBL3906153,IC50,'=',11.0,nM,7.96,CHEMBL4822,C[C@H]1C[C@H]2CSC(N)=NC2(c2nc(NC(=O)c3coc(C(F)F)n3)cs2)CO1
CHEMBL3983509,IC50,'=',1.0,nM,9.0,CHEMBL4822,C[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CO1
CHEMBL3911702,IC50,'=',3840.0,nM,5.42,CHEMBL4822,C[C@H]1C[C@H]2CSC(N)=NC2(c2nc(NC(=O)c3cn(C)nc3C(F)(F)F)cs2)CO1
CHEMBL3983828,IC50,'=',7460.0,nM,5.13,CHEMBL4822,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(CF)C[C@@H](C(F)(F)F)OC(N)=N2)c1
CHEMBL3916242,IC50,'=',17.0,nM,7.77,CHEMBL4822,C#CCn1ccc(C(=O)Nc2csc([C@]34CO[C@@H](C)C[C@H]3CSC(N)=N4)n2)n1
CHEMBL3980484,IC50,'=',2.0,nM,8.7,CHEMBL4822,Cc1cn(C(F)F)nc1C(=O)Nc1csc([C@]23CO[C@@H](C)C[C@H]2CSC(N)=N3)n1
CHEMBL3642609,IC50,'=',7900.0,nM,5.1,CHEMBL4822,Cc1ccc(NC(=O)COc2cccc(C3(C)CCSC(N)=N3)c2)cc1O
CHEMBL3642612,IC50,'=',6700.0,nM,5.17,CHEMBL4822,CC1(c2ccc(F)c(NC(=O)c3ccc4ccccc4n3)c2)CCSC(N)=N1
CHEMBL3642610,IC50,'=',5600.0,nM,5.25,CHEMBL4822,CC1(c2cccc(NCc3ccc(Cl)cc3)c2)CCSC(N)=N1
CHEMBL3642600,IC50,'=',39.4,nM,7.41,CHEMBL4822,CC1(c2cc(Br)cc(NC(=O)c3ccc(Cl)cn3)c2)CCSC(N)=N1
CHEMBL3670365,IC50,'=',6.0,nM,8.22,CHEMBL4822,C[C@@]1(c2nc(NC(=O)c3ncc(C#N)cc3Cl)ccc2F)CO[C@@](C)(C(F)(F)F)C(N)=N1
CHEMBL3691384,IC50,'=',838.0,nM,6.08,CHEMBL4822,NC1=N[C@@]2(c3ccccc3F)CO[C@@H](CF)C[C@H]2CS1
CHEMBL3919193,IC50,'=',20.0,nM,7.7,CHEMBL4822,C[C@@]1(c2cc(NC(=O)c3ncc(Br)cc3F)cc(F)c2F)C[C@@H](C(F)(F)F)OC(N)=N1
CHEMBL3970982,IC50,'=',2400.0,nM,5.62,CHEMBL4822,COc1nccnc1Nc1ccc(F)c([C@]2(C(F)F)COCC(N)=N2)c1
CHEMBL3900583,IC50,'=',20.0,nM,7.7,CHEMBL4822,NC1=N[C@](CF)(c2cc(NC(=O)c3nn(C(F)F)cc3Cl)ccc2F)C[C@@H](C(F)(F)F)O1
CHEMBL3924932,IC50,'=',130.0,nM,6.89,CHEMBL4822,NC1=N[C@](CF)(c2cc(NC(=O)c3ncc(C(F)F)cc3Cl)ccc2F)C[C@@H](C(F)(F)F)O1
CHEMBL1760867,IC50,'=',4200.0,nM,5.38,CHEMBL4822,O=S1(=O)C[C@@H](Cc2ccc(O)c(Br)c2)[C@H](O)[C@@H](NCc2cc(Cl)cc(Cl)c2)C1
CHEMBL1270082,IC50,'=',50000.0,nM,4.3,CHEMBL4822,O=C(CSc1nc2ccc(Nc3nc(N4CCOCC4)nc(N4CCOCC4)n3)cc2s1)Nc1ccccc1Cl
CHEMBL570556,IC50,'=',61.0,nM,7.21,CHEMBL4822,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCOCC1
CHEMBL1270935,IC50,'=',40.0,nM,7.4,CHEMBL4822,CCC#Cc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1
CHEMBL1270262,IC50,'=',1300.0,nM,5.89,CHEMBL4822,C=C(c1cccc(C2(NC[C@@H](O)[C@H](Cc3cc(F)cc(F)c3)NC(C)=O)CC2)c1)C(F)(F)F
CHEMBL3653414,IC50,'=',3000.0,nM,5.52,CHEMBL4822,N#Cc1ccc(C(=O)Nc2cc(C3(C(F)F)COCC(N)=N3)c(F)cc2F)nc1
CHEMBL3652431,IC50,'=',3.5,nM,8.46,CHEMBL4822,COC1CCC2(CC1)Cc1ccc(-c3cc(Cl)cc(C#N)c3)cc1C21N=C(N)N(C)O1
CHEMBL3652432,IC50,'=',4.5,nM,8.35,CHEMBL4822,COC1CCC2(CC1)Cc1ccc(C#CC3CC3)cc1C21N=C(N)N(C)O1
CHEMBL1270834,IC50,'=',28.0,nM,7.55,CHEMBL4822,CCCC#Cc1cc([C@@]2(c3ccc(OC(F)F)c(C)c3)N=C(N)N(C)C2=O)ccc1F
CHEMBL1270936,IC50,'=',41.0,nM,7.39,CHEMBL4822,CC#Cc1cc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)ccc1F
CHEMBL1258802,IC50,'=',1580.0,nM,5.8,CHEMBL4822,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2ncc(C(C)(C)C)o2)CCCCC1
CHEMBL1257418,IC50,'=',640.0,nM,6.19,CHEMBL4822,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(C(C)(C)C)ccn2)CC1
CHEMBL2048046,IC50,'=',1030.0,nM,5.99,CHEMBL4822,CC(C)(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3cc(F)c(N)c(OCCC(F)(F)F)c3)[C@@H]2O)c1
